,Player,Role,Price
1,Ambati Rayadu (R),Batsman,2.20 crore
2,Monu Singh (R),Batsman,20 lakhs
3,Murali Vijay (R),Batsman,2 crore
4,Ruturaj Gaikwad (R),Batsman,20 lakhs
5,Suresh Raina (R),Batsman,11 crore
6,MS Dhoni (R),Wicket Keeper,15 crore
7,Jagadeesan Narayan (R),Wicket Keeper,20 lakhs
8,Asif K M (R),All-Rounder,40 lakhs
9,Dwayne Bravo (R),All-Rounder,6.40 crore
10,Faf du Plessis (R),All-Rounder,1.60 crore
11,Karn Sharma (R),All-Rounder,5 crore
12,Kedar Jadhav (R),All-Rounder,7.80 crore
13,Ravindra jadeja (R),All-Rounder,7 crore
14,Shane Watson (R),All-Rounder,4 crore
15,Sam Curran,All-Rounder,5.50 crore
16,Deepak Chahar (R),Bowler,80 lakhs
17,Harbhajan Singh (R),Bowler,2 crore
18,Imran Tahir (R),Bowler,1 crore
19,Lungisani Ngidi (R),Bowler,50 lakhs
20,Mitchell Santner (R),Bowler,50 lakhs
21,Shardul Thakur (R),Bowler,2.60 crore
22,Piyush Chawla,Bowler,6.75 crore
23,Josh Hazlewood,Bowler,2 crore
24,R. Sai Kishore,Bowler,20 lakhs
